Cost of Production (`/Quintal) C2,Cost of Cultivation (`/Hectare) C2
1941.55,23076.74
2172.46,16528.68
1898.3,19551.9
3670.54,24171.65
2775.8,25270.26
2539.47,33116.82
2003.76,50828.83
2509.99,44756.72
2179.26,42070.44
2127.35,44018.18
1691.66,12610.85
1551.94,16873.17
1882.68,21618.43
2277.68,18679.33
1559.04,26762.09
3484.01,17314.2
2554.91,30434.61
2358,30393.66
1918.92,30114.45
3207.35,32683.46
404.43,19857.7
581.69,20671.54
658.77,19810.29
1387.36,21045.11
840.58,37801.85
2614.14,8266.98
2068.67,9165.59
5777.48,7868.64
2228.97,13209.32
2261.24,15371.45
732.62,28144.5
715.04,25909.05
731.25,33046.12
669.86,45291.24
789.9,46450.2
1279.6,17705.93
1341.29,19259.84
1595.56,22560.3
1610.4,19083.55
1251.12,27507.54
93.64,45239.51
86.53,86765.77
119.72,91442.63
107.56,85801.95
85.79,89025.27
810.25,22489.75
804.8,35423.48
769.84,31902.74
683.58,29876.36
